License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0013320,"Fly Dhaka Travels","Md. Amir Hossain","License expired","26-Jan-2022",,"25-Jan-2025","Dhaka","DHAKA","TEJGAON"
0013130,"Tour Plan Limited.","SK. Mahmud Hasan","License expired","14-Sep-2021",,"13-Sep-2024","Dhaka","DHAKA","TEJGAON"
0013181,"TAMAM TRAVELS LIMITED","MD. ASHAKUR RAHMAN KHAN","License expired","27-Oct-2021",,"26-Oct-2024","Dhaka","DHAKA","TEJGAON"
0013301,"Time Travel","Mohd Ashraful Alam Khan Surid","License expired","17-Jan-2022",,"16-Jan-2025","Dhaka","DHAKA","TEJGAON"
0013259,"Diganta Travels Limited.","Md. Ziaoul Hoque","License expired","30-Dec-2021",,"29-Dec-2024","Dhaka","DHAKA","TEJGAON"
0013215,"Zurrah Limited","Md. Nazrul Islam","License expired","30-Nov-2021",,"29-Nov-2024","Dhaka","DHAKA","TEJGAON"
0013453,"Flight Lander International Travels","Md. Motiur Rahman","License expired","17-Apr-2022",,"16-Apr-2025","Dhaka","DHAKA","TEJGAON"
0013438,"Scholars Consulting Limited","S.M Ibrahim","License expired","11-Apr-2022",,"10-Apr-2025","Dhaka","DHAKA","TEJGAON"
0001150,"Guardian Travels & Cargo Limited","Nazma Akter","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","TEJGAON IND. AREA"
0013499,"Bdesh Travels & Consultancy Ltd.","Md. Omar Faruk","License expired","11-May-2022",,"10-May-2025","Dhaka","DHAKA","TEJGAON IND. AREA"
0013315,"SDC Tours & Travels","Abdul Jabbar","License expired","25-Jan-2022",,"24-Jan-2025","Dhaka","DHAKA","TURAG"
0013500,"Alliance International Travel Agency","Md. Saiful Islam","License expired","12-May-2022",,"11-May-2025","Dhaka","DHAKA","TURAG"
0002555,"Mac Tech International Ltd. (Travels & Tours)","Major Mansur Rahman Retd","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","UTTARA"
0008419,"Linnas World Service","Md. Arju Ahmed","License expired","06-Nov-2016","06-Nov-2019","05-Nov-2022","Dhaka","DHAKA","UTTARA"
0009011,"Monir Travels & Tours","MD. Moniruzzaman","License expired","05-Oct-2018","05-Oct-2018","04-Oct-2021","Dhaka","DHAKA","UTTARA"
0004694,"Dakhina Tours & Travels","LT. COL. SYED ARIFUL AZAM","License expired","18-May-2015","18-May-2018","17-May-2021","Dhaka","DHAKA","UTTARA"
0005290,"Westar International (Pvt.) Limited","Gazi Abul Hashem","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","UTTARA"
0005389,"Zhong You Tours And Business Limited","Farida Yeasmin","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","UTTARA"
0006494,"NHT Holidays","Aynun Nahar","License expired","31-Jan-2013","24-Mar-2021","23-Mar-2024","Dhaka","DHAKA","UTTARA"
0003851,"IJ TC Tours and Travels Limited","Foyazur Rahaman Asad","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","UTTARA"
0006910,"Trillion Tours & Travels Bd Ltd","Md. Bashir Uddin","License expired","18-Dec-2016","18-Dec-2019","17-Dec-2022","Dhaka","DHAKA","UTTARA"
0006062,"Transerve Corporate Services Ltd","Nayla Chowdhury","License expired","08-Dec-2015","08-Dec-2021","07-Dec-2024","Dhaka","DHAKA","UTTARA"
0000068,"S.S Travels","NAZMUS SADAT","License expired","19-Nov-2015","19-Nov-2021","18-Nov-2024","Dhaka","DHAKA","UTTARA"
0012237,"Wills Tours & Travels","Md. Ashiful Islam Khan","License expired","17-Oct-2018","17-Oct-2021","16-Oct-2024","Dhaka","DHAKA","UTTARA"
0012275,"Bir Overseas Tours & Travels Ltd.","M Imran Ahamad","License expired","08-Nov-2018","08-Nov-2021","07-Nov-2024","Dhaka","DHAKA","UTTARA"
0021370,"Imran Tours & Travels","Billal Hossain","License expired","28-Jan-2019","28-Jan-2022","27-Jan-2025","Dhaka","DHAKA","UTTARA"
0012392,"Apparent Tours & Travels","Mohammad Shawkat Hayet","License expired","24-Feb-2019","24-Feb-2022","23-Feb-2025","Dhaka","DHAKA","UTTARA"
0012987,"Unepax Travel International","Fhmida Binte Farid","License expired","23-Mar-2021",,"22-Mar-2024","Dhaka","DHAKA","UTTARA"
0006941,"Travel Zoo","Md. Azhrarul Islam","License expired","31-Jan-2018","31-Jan-2018","30-Jan-2021","Dhaka","DHAKA","UTTARA"
0003869,"Babilon Express Limited","Abul Monsur Ahmed","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","UTTARA"
0013272,"TRIP SHEBA","BIMAN BARUA","License expired","04-Jan-2022",,"03-Jan-2025","Dhaka","DHAKA","UTTARA"
0012947,"HIJ  RAT TOUR & TRAVELS","NABARUN MORSHED","License expired","11-Feb-2021",,"10-Feb-2024","Dhaka","DHAKA","UTTARA"
0013075,"Mahjabin International Ltd","Arif","License expired","28-Jun-2021",,"27-Jun-2024","Dhaka","DHAKA","UTTARA"
0013337,"Holiday Travels & Tours","H. M. Yousuf Ali","License expired","07-Feb-2022",,"06-Feb-2025","Dhaka","DHAKA","UTTARA"
0013468,"Rahmani Tours Corporation","MOHAMAD ABU  SALEH RAHMANI","License expired","19-Apr-2022",,"18-Apr-2025","Dhaka","DHAKA","UTTARA"
0013269,"UTTAR BANGLA TOURS & TRAVELS LTD.","SHAFIQUL ISLAM","License expired","04-Jan-2022",,"03-Jan-2025","Dhaka","DHAKA","UTTARA"
0013252,"HOLIDAYZ TOURS & TRAVELS","MOHAMMAD ABDULLAH AL IMAM","License expired","28-Dec-2021",,"27-Dec-2024","Dhaka","DHAKA","UTTARA"
0013727,"TBD HOLIDAYS","Kazi Didar","License expired","19-Sep-2022",,"18-Sep-2025","Dhaka","DHAKA","UTTARA"
0013440,"MADANI HOLIDAYS LTD.","ABDULLAH AL MOHAMMAD MEHEDI KAWSAR","License expired","11-Apr-2022",,"10-Apr-2025","Dhaka","DHAKA","UTTARA"
0013460,"A K Airways","Mohammed Abu Kauchar","License expired","19-Apr-2022",,"18-Apr-2025","Dhaka","DHAKA","UTTARA"
0013430,"Sky Capital Travels","Arifur Rahman","License expired","10-Apr-2022",,"09-Apr-2025","Dhaka","DHAKA","UTTARA"
0013475,"Sky Vision Tours & Travels Ltd.","Md. Zulfikar Ali Sikder","License expired","24-Apr-2022",,"23-Apr-2025","Dhaka","DHAKA","UTTARA"
0013580,"Bongo Technology Ltd","S M Farhadur Rahman ","License expired","23-Jun-2022",,"22-Jun-2025","Dhaka","DHAKA","UTTARA"
0013388,"Tech Savvy Travel Agency","RUSSEL EASHA","License expired","08-Mar-2022",,"07-Mar-2025","Rangpur","DINAJPUR","BIRGANJ"
0013663,"Skyland Tours & Travels Ltd.","Rakibul Hasan","License expired","08-Aug-2022",,"07-Aug-2025","Dhaka","FARIDPUR","FARIDPUR SADAR"
0004841,"Farazi Air International","Fayez Ahmed","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","FENI","FENI SADAR"
0004939,"Bijoy Travels and Tours","MD. Mizanur Rahman Bhuiyan","License expired","26-Aug-2015","26-Aug-2018","25-Aug-2021","Chittagong","FENI","FENI SADAR"
0004984,"Al Arab Travels and Tours","Md. Jalal Uddin Bhuiyan","License expired","01-Jan-2017","13-Nov-2022","12-Nov-2025","Chittagong","FENI","FENI SADAR"
0013886,"New Hajee Travels and Tours"," ZILLUR RAHMAN ","License expired","07-Nov-2022",,"06-Nov-2025","Chittagong","FENI","FENI SADAR"
0013584,"Paradise Tourism & Travels","সাফায়েত হোসেন","License expired","23-Jun-2022",,"22-Jun-2025","Chittagong","FENI","FENI SADAR"
0004902,"D. B. R. Tours & Travels","MD. Ali Akbor","License expired","01-Jun-2018","01-Jun-2021","31-May-2024","Chittagong","FENI","SONAGAZI"
0013889,"RITU INTERNATIONAL","ABUL KASHEM","License expired","08-Nov-2022",,"07-Nov-2025","Chittagong","FENI","SONAGAZI"
0013137,"MASUD MADANI HAJJ TRAVELS","HAFEZ MASUDUR RAHMAN","License expired","16-Sep-2021",,"15-Sep-2024","Rangpur","GAIBANDHA","SAGHATA"
0001354,"Saifullah Tours and Travels","Md. Roman Chowdore","License expired","04-Jan-2016","04-Jan-2019","03-Jan-2022","Dhaka","GAZIPUR","GAZIPUR SADAR"
0009750,"S S R Tours & Travels","Mohammad Shahidur Rahman","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019","Dhaka","GOPALGANJ","KASHIANI"
0013520,"Tahmid Travel Agency","Syed Helal Ahamed","License expired","25-May-2022",,"24-May-2025","Sylhet","HABIGANJ","CHUNARUGHAT"
0000962,"Salam Abad Travels","Soehod Abu Khalad Md. Abdul Khalak","License expired","04-Feb-2017","28-Jul-2017","27-Jul-2020","Mymensingh","JAMALPUR","JAMALPUR SADAR"
0006322,"Nibir Jamalpur Hajj Kafela Travels","MD. Faruk Hossain","License expired","07-Sep-2017","01-Jan-2020","31-Dec-2022","Mymensingh","JAMALPUR","JAMALPUR SADAR"
0007110,"New Ashek-A-Haramain Hajj Travels","Mao Ashek Alahi","License expired","21-Jun-2017","21-Jun-2020","20-Jun-2023","Khulna Metro","JESSORE","ABHAYNAGAR"
0004953,"Mitali Hajj Travels.","Humaun Kabir","License expired","20-Aug-2015","20-Aug-2018","19-Aug-2021","Khulna Metro","JESSORE","JESSOR SADAR"
0003650,"KJF Tours & Travels Limited","Mohammad Ali Reza","License expired","01-Jun-2018","01-Jun-2018","31-May-2021","Khulna Metro","JESSORE","MANIRAMPUR"
0004951,"Fair Deal Enterprise","Syed Shahid Hossain","License expired","31-Dec-2015","31-Dec-2021","30-Dec-2024","Khulna Metro","KHULNA","KHULNA SADAR"
0013581,"YALAMLAM HAJJ TRAVELS","ABU NASER CHOWDHURY","License expired","23-Jun-2022",,"22-Jun-2025","Khulna Metro","KHULNA","KHULNA SADAR"
0012454,"Al Arafah Hajj travels","Md. Izzat Ali","License expired","04-Nov-2019","04-Nov-2022","03-Nov-2025","Khulna Metro","KUSHTIA","KUSHTIA SADAR"
0013867,"Medina Tours and Travels","RASHED KHAN","License expired","30-Oct-2022",,"29-Oct-2025","Chittagong","LAKSHMIPUR","ROYPUR"
0013843,"Nakib International Tours & Travels","Mostafa Imran","License expired","23-Oct-2022",,"22-Oct-2025","Chittagong","LAKSHMIPUR","ROYPUR"
0006202,"Ziarate Kaba Hajj Tours and Travels","MD. Amzad Hossain Sarker","License expired","23-Oct-2017","05-Jun-2020","04-Jun-2023","Rangpur","LALMONIRHAT","LALMONIRHAT SADAR"
0007151,"The Manikgonj Travels International","Mohammad Likat Ali","License expired","26-Nov-2017","26-Nov-2020","25-Nov-2023","Dhaka","MANIKGANJ","MANIKGANJ SADAR"
0012190,"Himalay International Travels Service","Mohammad Zahid Khan","License expired","24-Sep-2018","24-Sep-2021","23-Sep-2024","Dhaka","MANIKGANJ","SINGAIR"
0013409,"A.K Air Travels","Md, Aman Ullah","License expired","30-Mar-2022",,"29-Mar-2025","Dhaka","MANIKGANJ","SINGAIR"
0013413,"Insaf Network Travels & Tours","Mohammad Sohel Rana","License expired","05-Apr-2022",,"04-Apr-2025","Dhaka","MANIKGANJ","SINGAIR"
0005061,"Arab Bangla Overseas Limited","MD.ATIQUL ISLAM ","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","MAULVIBAZAR","BARLEKHA"
0013632,"City Travels","MD SAYFUL ISLAM","License expired","21-Jul-2022",,"20-Jul-2025","Sylhet","MAULVIBAZAR","BARLEKHA"
0013829,"Badsha Travels","Md. Sayel Ahmed","License expired","18-Oct-2022",,"17-Oct-2025","Sylhet","MAULVIBAZAR","KAMALGANJ"
0004857,"Mirza Travels","Md  Abdul Hannan","License expired","06-Apr-2018","06-Apr-2018","05-Apr-2021","Sylhet","MAULVIBAZAR","MAULVIBAZAR SADAR"
0012140,"Latif Holidays","Jahirul Kabir Chowdhury","License expired","06-Aug-2018","06-Aug-2021","05-Aug-2024","Sylhet","MAULVIBAZAR","MAULVIBAZAR SADAR"
0013734,"Ms Tasnim Enterprise","KHUKON AHMED","License expired","20-Sep-2022",,"19-Sep-2025","Sylhet","MAULVIBAZAR","MAULVIBAZAR SADAR"
0004840,"Afnan Travels","Alhaj Md. Ahsan Ullah","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","MUNSHIGANJ","MUNSHIGANJ SADAR"
0000936,"Bhaluka Travels and Tours","MD. Abdullahil wahid","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Mymensingh","MYMENSINGH","BHALUKA"
0009218,"Nabil Tours & Travels","MD.NAZMUL ISLAM","License expired","31-Aug-2016","31-Aug-2019","30-Aug-2022","Mymensingh","MYMENSINGH","MYMENSINGH SADAR"
0000140,"Sadek Travels","MD WAIZ UDDIN","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Mymensingh","MYMENSINGH","MYMENSINGH SADAR"
0007191,"North Bengal Hajj And Umrah Services","Md Abdul Hamid","License expired","13-Mar-2018","13-Mar-2021","12-Mar-2024","Rajshahi","NAOGAON","PORSHA"
0013001,"Wingate Travels","Md. Mohinur Rahman","License expired","05-Apr-2021",,"04-Apr-2024","Khulna Metro","NARAIL","LOHAGARA"
0007195,"Piano Island Tours & Travels","Faisal Alam Chowdhury","License expired","27-Mar-2018","27-Mar-2021","26-Mar-2024","Dhaka","NARAYANGANJ","NARAYANGANJ SADAR"
0009227,"Rahman Tours & Travels Agency","Kazi Mohammad Zahir","License expired","20-Oct-2016","20-Oct-2022","19-Oct-2025","Dhaka","NARAYANGANJ","RUPGANJ"
0013604,"Samir Travels International","Sohoraf Hossain","License expired","30-Jun-2022",,"29-Jun-2025","Dhaka","NARSINGDI","NARSINGDI SADAR"
0013767,"JAJ INTERNATIONAL AIR TRAVEL","SUMON MIAH","License expired","28-Sep-2022",,"27-Sep-2025","Dhaka","NARSINGDI","ROYPURA"
0004913,"Eque Travels International","MD. Tarikul Alam Tarik","License expired","24-Jun-2018","24-Jun-2018","23-Jun-2021","Rangpur","NILPHAMARI ZILA","SAIDPUR"
0012440,"Montu Saha Travels","Gowtom Saha","License expired","02-Oct-2019","02-Oct-2022","01-Oct-2025","Chittagong","NOAKHALI","BEGUMGANJ"
0013164,"EASYWAY TRAVELS AND TOURS","Ata Ullah","License expired","07-Oct-2021",,"06-Oct-2024","Chittagong","NOAKHALI","BEGUMGANJ"
0012927,"OITHI AIR INTERNATIONAL","MD ABU BAKAR SIDDIQUE","License expired","08-Feb-2021",,"07-Feb-2024","Chittagong","NOAKHALI","KABIRHAT"
0013047,"Media Travel Limited","KAZI MOHAMMED FUHADUR RAHMAN","License expired","15-Jun-2021",,"14-Jun-2024","Chittagong","NOAKHALI","SENBAGH"
0001361,"Noakhali Travels & Tours","MD. Johirul Islam","License expired","11-Feb-2016","11-Feb-2022","10-Feb-2025","Chittagong","NOAKHALI","NOAKHALI SADAR"
0004744,"Maruf Travels","Alhaj Abdul Matin","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Chittagong","NOAKHALI","NOAKHALI SADAR"
0009209,"Sarker Air Express and Travels","Md. Shahan Shah Alomgir","License expired","07-Aug-2016","07-Aug-2022","06-Aug-2025","Rajshahi","PABNA","ISHWARDI"
0013739,"Nishan International Tours & Travels","Alhaj Dr. Molla Mohammad Kafil Uddin","License expired","21-Sep-2022",,"20-Sep-2025","Rajshahi","PABNA","PABNA SADAR"
0009005,"Mridha Air Tours And Travels","Mohammad Abdur Razzak","License expired","19-Oct-2017","19-Oct-2020","18-Oct-2023","Barisal","PATUAKHALI","DASHMINA"
0009293,"Sarkar Tours & Travels","S.M Akhlas Ahmed","License expired","09-May-2020","09-May-2019","08-May-2023","Rajshahi","RAJSHAHI","BOALIA"
0007197,"Sheikh Tours And Travels","Sheikh Sohel Ahmed","License expired","04-Apr-2018","04-Apr-2018","03-Apr-2021","Rangpur","RANGPUR","RANGPUR SADAR"
0007152,"The Haque Travels","Md. Belal Hosain","License expired","26-Nov-2017","26-Nov-2020","25-Nov-2023","Rajshahi","SIRAJGANJ","SIRAJGANJ SADAR"
0007181,"Saiful Air Travels.","Md Saiful Islam","License expired","15-Feb-2018","15-Feb-2021","14-Feb-2024","Rajshahi","SIRAJGANJ","SIRAJGANJ SADAR"
0006307,"Ullapara Travel And Tours","Alhaj Md.  Abul Kalam Ajad","License expired","01-Sep-2017","14-Dec-2017","30-Aug-2023","Rajshahi","SIRAJGANJ","ULLAH PARA"
0013470,"M/S MIR AVIATION","MIR MONNAF","License expired","20-Apr-2022",,"19-Apr-2025","Rajshahi","SIRAJGANJ","ULLAH PARA"
0000938,"Panjery Travels","Masud Hosan Khan","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","BEANI BAZAR"
0013702,"A S R Travels","Alam Hossain","License expired","05-Sep-2022",,"04-Sep-2025","Sylhet","SYLHET","BEANI BAZAR"
0000975,"Taj  Overseas","Md. Sher Ali","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","DAKSHIN SURMA"
0005017,"Hussain Traders & Travels Agent","Md.Helal Ahmad","License expired","29-May-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","DAKSHIN SURMA"
0013700,"Nure Madina Overseas","MD SUHEL AHMED","License expired","05-Sep-2022",,"04-Sep-2025","Sylhet","SYLHET","DAKSHIN SURMA"
0001381,"New Khalil Travels & Tours","Khalilur Rahman","License expired","07-Apr-2016","07-Apr-2019","06-Apr-2022","Sylhet","SYLHET","JAINTIAPUR"
0005080,"Gashbari Air International","Abdul Mowla","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","KANAIGHAT"
0004982,"Atiya Travels","Kawsar Ahmad Ripon","License expired","06-Oct-2016","06-Oct-2022","05-Oct-2025","Sylhet","SYLHET","KANAIGHAT"
0004900,"Al Raiyan Overseas","Md.Aminur Rahman","License expired","29-Jul-2018","29-Jul-2021","28-Jul-2024","Sylhet","SYLHET","KANAIGHAT"
0006209,"Wings Tours & Travels Limited","Mizanur Rahman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0006214,"Prime Express Travel & Cargo","Ikbal Ahmed","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0000953,"Royal Air Lines Express","MD. Abdul Hannan Hannan","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0000997,"Sheuly Overseas Express","MD.Mokter Mia","License expired","05-Nov-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0007159,"TAZUL AIR SERVICES","MD TAZUL ISLAM","License expired","14-Dec-2017","14-Dec-2020","13-Dec-2023","Sylhet","SYLHET","SYLHET SADAR"
0000990,"Nafi Travels & Tours","MD. Abul Hossain","License expired","22-Apr-2015","22-Apr-2018","21-Apr-2021","Sylhet","SYLHET","SYLHET SADAR"
0005047,"Al-Kabir International","Md. Masuk Ahmed","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0005060,"A.R Travels","Md. Akter Hossain","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0004846,"A B C Air Ltd","Barnard Lee","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0004705,"Al Rajhi Travels","Mohammad Abdul Ali","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0005014,"Haque Air International","Hazi Md. Abul Bashar","License expired","02-Jul-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0004899,"Anupoma International","Nrependro Kumar Das","License expired","29-Jul-2015","29-Jul-2018","28-Jul-2021","Sylhet","SYLHET","SYLHET SADAR"
0004958,"Amana Travels & Tours","Abul Kalam Azad","License expired","22-Feb-2016","22-Feb-2022","21-Feb-2025","Sylhet","SYLHET","SYLHET SADAR"
0005175,"Madani  Travels","Mohammed Shamsuzzaman","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0004919,"Mirza Overseas","Md.Jabed Ahmad","License expired","30-Jul-2018","01-Jan-2017","29-Jul-2021","Sylhet","SYLHET","SYLHET SADAR"
0005076,"Al-Ihsan Hajj & Omrah Service","Sohol Al-Razi Chowdhury","License expired","23-Oct-2019","11-Aug-2020","10-Aug-2023","Sylhet","SYLHET","SYLHET SADAR"
0004970,"Ahmed Hajj Omrah Service","Hafiz Mawlana Ahmed Kabir","License expired","04-Apr-2016","04-Apr-2019","03-Apr-2022","Sylhet","SYLHET","SYLHET SADAR"
0004866,"Afzolabad Travels","Mohammad Ashrab Ali","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Sylhet","SYLHET","SYLHET SADAR"
0012296,"Ishak Travels","Mohammed Obayedullah Ishak","License expired","15-Nov-2018","15-Nov-2021","14-Nov-2024","Sylhet","SYLHET","SYLHET SADAR"
0012293,"Bina Tourism","Ripon Chandra Dhar","License expired","15-Nov-2018","15-Nov-2021","14-Nov-2024","Sylhet","SYLHET","SYLHET SADAR"
0001910,"The Butterfly Travel & Holidays","Diponkor Chowdhury","License expired","14-May-2018","14-May-2018","13-May-2021","Sylhet","SYLHET","SYLHET SADAR"
0006563,"Habib Air International","Md. Golam Rabbani","License expired","31-Jan-2018","31-Jan-2018","30-Jan-2021","Sylhet","SYLHET","SYLHET SADAR"
0006537,"Garden Travels","Md. Amirul Goni Chowdhury","License expired","27-Sep-2017","27-Sep-2020","26-Sep-2023","Sylhet","SYLHET","SYLHET SADAR"
0006536,"Latif Travels And Tours","Jahirul Kabir Chowdhury","License expired","27-Sep-2017","27-Sep-2020","26-Sep-2023","Sylhet","SYLHET","SYLHET SADAR"
0006553,"Abdullah Hajj Service And Travels","A. K. M Abdullah","License expired","17-Dec-2017","17-Dec-2020","16-Dec-2023","Sylhet","SYLHET","SYLHET SADAR"
0001913,"M/S Saiful Air Service","Md. Saiful Islam","License expired","27-May-2018","27-May-2021","26-May-2024","Sylhet","SYLHET","SYLHET SADAR"
0013082,"H.R Overseas Ltd.","Helal Uddin","License expired","29-Jun-2021",,"28-Jun-2024","Sylhet","SYLHET","SYLHET SADAR"
0013759,"AYAAN TRAVELS INTERNATIONAL","Sheikh Momen","License expired","26-Sep-2022",,"25-Sep-2025","Sylhet","SYLHET","SYLHET SADAR"
0013669,"Shahjalal Travel Agency","AHMED SHARIF","License expired","11-Aug-2022",,"10-Aug-2025","Sylhet","SYLHET","SYLHET SADAR"
0013704,"AG CONSULTANT","Sree Arunodoy Ghose","License expired","06-Sep-2022",,"05-Sep-2025","Sylhet","SYLHET","SYLHET SADAR"
0013770,"SARAH TRAVEL EXPERT","MD IFTAKHER UDDIN","License expired","29-Sep-2022",,"28-Sep-2025","Sylhet","SYLHET","SYLHET SADAR"
0013711,"Sun Education and Career Consultant","Mohammad Shahanur Uddin","License expired","11-Sep-2022",,"10-Sep-2025","Sylhet","SYLHET","SYLHET SADAR"
0013670,"SKY STATION AIR TRAVELS","KHIRUL ISLAM","License expired","11-Aug-2022",,"10-Aug-2025","Dhaka","TANGAIL","DELDUAR"
0006630,"NABA Travels and Tours","Md. Mohshin Khan Majlish","License expired","24-Oct-2016","24-Oct-2022","23-Oct-2025","Dhaka","TANGAIL","MIRZAPUR"
0001397,"Siraj & Sons Travels","Sirajul Islam Khan","License expired","19-Jun-2016","19-Jun-2022","18-Jun-2025","Dhaka","TANGAIL","SAKHIPUR"
0000014,"Shihab Air Travels","AMIN ULA","License expired","01-Jun-2018","01-Jun-2021","31-May-2024","Dhaka","DHAKA","Wari"
0009166,"Bismillah Travels & Hajj Agency","Md. Harun Ur Rashid","License expired","22-May-2018","08-Feb-2018","21-May-2021","Dhaka","DHAKA","Wari"
0013588,"R.N. Tours & Travels","MOHAMMAD NADIM","License expired","26-Jun-2022",,"25-Jun-2025","Dhaka","DHAKA","Wari"
0013405,"Paragon Air Travels","Golam Mostafa Mollick ","License expired","30-Mar-2022",,"29-Mar-2025","Dhaka","DHAKA","Sher-e-Bangla Nagor "
0002508,"Lee Air Service","Mohammad Abdul Ahad","License expired","18-Sep-2017","18-Sep-2020","17-Sep-2023","Dhaka","DHAKA","Banani"
0008450,"M.D.H Holidays","Md. Habibur Rahman","License expired","02-Apr-2017","02-Apr-2020","01-Apr-2023","Dhaka","DHAKA","Banani"
0008364,"M M Travel Services","Mohammad muslim Hai","License expired","05-Nov-2015","05-Nov-2018","04-Nov-2021","Dhaka","DHAKA","Banani"
0000785,"Abc-Air Limited","Bernard Lee","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","Banani"
0005493,"Air Cox\'s International Ltd","Bashir Ahmad","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","Banani"
0000312,"Fly Asia Ltd.","Marupul Islam Jhalak","License expired","30-Aug-2016","01-Sep-2019","31-Aug-2022","Dhaka","DHAKA","Banani"
0000266,"Captain Holiday Ltd","TABERUN NESA","License expired","20-Jan-2016","20-Jan-2022","19-Jan-2025","Dhaka","DHAKA","Banani"
0000308,"Calendar Tours and Travels","MD SHAHRIAR ZAMAN","License expired","21-Aug-2017","23-Aug-2019","22-Aug-2022","Dhaka","DHAKA","Banani"
0008167,"Xplore Holidays Ltd","JAMIR HOSEN","License expired","04-Feb-2016","04-Feb-2016","03-Feb-2019","Dhaka","DHAKA","Banani"
0005214,"VIVID GLOBAL CONNECT LTD","MD QUAMRUL HUDA","License expired","26-Nov-2017","26-Nov-2020","25-Nov-2023","Dhaka","DHAKA","Banani"
0000002,"Shaikh Travel Agency","Sheikh Shahinur Rahman","License expired","30-Apr-2018","30-Apr-2018","29-Apr-2021","Dhaka","DHAKA","Banani"
0000011,"S. A. Ayat Travel & Tours","Md. Ahsan Habib","License expired","31-May-2018","31-May-2018","30-May-2021","Dhaka","DHAKA","Banani"
0000103,"Smart Care Aviation Ltd","ANAM AHMED CHOWDHURY","License expired","21-Mar-2016","21-Mar-2022","20-Mar-2025","Dhaka","DHAKA","Banani"
0000075,"Siesta Travels","Md.Ariful Islam","License expired","03-Dec-2015","03-Dec-2018","02-Dec-2021","Dhaka","DHAKA","Banani"
0006496,"Nishu Travel Agencies","Mohammad Shahab Uddin","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2021","Dhaka","DHAKA","Banani"
0002943,"Silicon Trade Wind Tours & Travels Ltd.","MD SHAHIDUL ISLAM","License expired","01-Jan-2017","01-Jan-2020","31-Dec-2022","Dhaka","DHAKA","Banani"
0001851,"Sharothi Online","Md. Abul Baset Babu","License expired","14-Mar-2018","14-Mar-2018","13-Mar-2021","Dhaka","DHAKA","Banani"
0012350,"Dhaka Travels & Traders","Redwan Ahmed","License expired","26-Dec-2018","26-Dec-2021","25-Dec-2024","Dhaka","DHAKA","Banani"
0012383,"Lisa Air International","Kazi Ayez Billah Mansur","License expired","17-Jan-2019",,"16-Jan-2022","Dhaka","DHAKA","Banani"
0012325,"AIR LINK HOLIDAYS","Akteruzzaman","License expired","29-Nov-2018","29-Nov-2021","28-Nov-2024","Dhaka","DHAKA","Banani"
0012299,"Travel Architect","Abul Kalam Azad","License expired","18-Nov-2018","18-Nov-2021","17-Nov-2024","Dhaka","DHAKA","Banani"
