License No,Agency Name,Name of the Proprietor,Status,License Eeffective Date,License Renew Date,License Exp Date,Division,District,Thana
0006468,"Nova Air International","Delowar Hossain","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006453,"Naya Travel Agency","MD. Nasir Uddin","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006783,"Arrow Aviation","Shaiyod Monir Uddin","License expired","01-Mar-2017",,"28-Feb-2020",,,
0006459,"Nur Al Haramain Travel Agency","MD. Forkanul Islam","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003948,"Nahar Air International","Md. Abdullah Motin","License expired","13-Dec-2017","13-Dec-2017","12-Dec-2020",,,
0006784,"Asia Travel Connection","Hasan Ahmed","License expired","05-Mar-2017","05-Mar-2017","04-Mar-2020",,,
0003954,"Near and Far Travels","Mises Sumia Tasnim","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006785,"Advantage Tours and Travels","Samiul Islam Shammi","License expired","16-Mar-2017",,"15-Mar-2020",,,
0006786,"Ahammed Air Ways ","Ahmed Ullah ","License expired","21-Mar-2017",,"20-Mar-2020",,,
0002772,"Al Din Overseas","M S ABSAR UDDIN CHOWDHURY","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000834,"ABN Aviation Ltd","Col Syed Shahabuddin Ahmed","License expired","01-Jan-2017",,"31-Dec-2019",,,
0006788,"Al-Ahbab Hajj Group"," Md.Faruqul Islam","License expired","21-Mar-2017",,"20-Mar-2020",,,
0000839,"Air Bangla International","S. M. Parvej Alam","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0000857,"Air Green Tours and Travels","Abdul Kader","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006623,"N M Tours and Travels","Mozammel Hossain","License expired","14-Aug-2016",,"13-Aug-2019",,,
0000867,"Aziza Tours and Travel Ltd.","Mahamud Riaz Hacan Khan","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0003963,"Pegasus Travel Limited","Md. Mijanur Rohman","License expired","13-Sep-2017",,"31-Dec-2019",,,
0006789,"Afra Tours and Travels ","Md.Abdus Salam","License expired","09-Apr-2017",,"08-Apr-2020",,,
0006790,"Anas Trade International ","Mustafa Mamun Siddiqi","License expired","08-Jun-2017",,"07-Jun-2020",,,
0006216,"South Asia Travels & Tours","KAZI ABDULLA  BABUL","License expired","01-Jan-2017",,"01-Jan-2019",,,
0006791,"Amco Enterprise","Md.Anamul Haque","License expired","08-Jun-2017",,"07-Jun-2020",,,
0000726,"Al-Kaaba Travels And Tourism","Md Saiful Islam","License expired","31-Dec-2014",,"31-Dec-2019",,,
0006273,"S.B. Agha & Co","Abul Bashar Mohammad Mahbubul Haque","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
0006309,"Skylight Corporation","Muhammad Moniruzzaman Sohel","License expired","01-Jan-2017","01-Jan-2017","31-Dec-2019",,,
